lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,lag_30
-0.6940914010636158,-0.6933869466268544,-0.6923976540677251,-0.6919144878597753,-0.6906020198152624,-0.6897938926613967,-0.6887842198958757,-0.6865908448735181,-0.6874539272909639,-0.6875914804124235,-0.6883061602281082,-0.6875703028621428,-0.6873617105525334,-0.6864991051350546,-0.685610127588503,-0.6859050980641416,-0.6857293321416824,-0.6852770888493196,-0.6844537859373336,-0.6835353968468194,-0.6834005667079843,-0.6835042986136299,-0.6827591111970984,-0.6829106231750234,-0.6823939968098673,-0.6821961676618298,-0.6815123769050351,-0.6810523591785972,-0.6811003049342157,-0.6809506620024566
-0.6936504526902165,-0.693492808705309,-0.6927740642333657,-0.6918004668725124,-0.6912406931181907,-0.6899289212535101,-0.6891636977747636,-0.6881478263344144,-0.685983050282582,-0.6869093735441132,-0.6870047246273708,-0.6876997989245356,-0.6869804939656007,-0.6867344330025174,-0.6858506945644461,-0.6849839678531355,-0.685348742519526,-0.6851996891098331,-0.6847229556371969,-0.6839092625537071,-0.6828953991992607,-0.6828263121122857,-0.682925936124775,-0.6822861442498734,-0.6823267875053468,-0.6820027155577597,-0.6818332520946259,-0.6812815185688541,-0.6808405850868545,-0.6810590847196943
-0.6939090894147567,-0.6930513443586471,-0.6928800447217115,-0.6921773213566955,-0.6911265742547422,-0.6905681490029224,-0.6892988696597502,-0.68852769834114,-0.6875418388549549,-0.6854364622792606,-0.6863217766834878,-0.686396858378614,-0.6871101480617083,-0.686352806218229,-0.6860862551396831,-0.6852247960394173,-0.6844263741482794,-0.6848185533899421,-0.6846454511975725,-0.68417880601441,-0.6832696496241468,-0.6823204952651916,-0.6822470895091852,-0.6824532405634585,-0.6817015272234398,-0.6819353800504634,-0.6816394206477724,-0.681603141775525,-0.6810702909721033,-0.6807986314334952
-0.6937949716297119,-0.693310283725498,-0.6924380865840154,-0.6922834269455311,-0.6915037522326987,-0.6904539310703531,-0.6899387757601655,-0.6886630106163989,-0.6879221517603554,-0.6869974066918035,-0.6848470492374132,-0.6857131206920665,-0.6858056174401423,-0.6864825998249697,-0.6857042509775664,-0.6854606123889866,-0.6846675260497987,-0.6838948615373166,-0.6842637999079558,-0.6841011939544833,-0.6835394704524146,-0.6826952267486511,-0.6817406309674924,-0.6817732896200681,-0.6818688326102673,-0.6813089456813706,-0.6815719531013913,-0.6814088584731289,-0.6813926811797314,-0.6810289859993098
-0.6938913426624926,-0.6931960324061679,-0.6926973155822684,-0.6918409471157728,-0.6916099489031022,-0.6908314364848922,-0.6898244366190768,-0.6893035813268527,-0.6880576210858886,-0.6873782455786316,-0.6864099183809282,-0.6842366879107706,-0.6851210453374381,-0.6851766655000244,-0.6858341729328179,-0.6850781934424375,-0.6849036593778197,-0.684136359461164,-0.6833388585593366,-0.6837190127155206,-0.6834617785275637,-0.6829653944025043,-0.6821158378466812,-0.6812660071864466,-0.6811880309027555,-0.6814765652271435,-0.6809442903488789,-0.6813412336479095,-0.6811979345541801,-0.6813522866244576
-0.6928866127151551,-0.6932925162069714,-0.6925829364694314,-0.6921004821106783,-0.6911670892464459,-0.6909377253469847,-0.6902023426438472,-0.6891891234324955,-0.6886989352751258,-0.6875139022613338,-0.6867912268632109,-0.685801364314199,-0.6836428107549677,-0.6844913567828184,-0.6845269472135574,-0.6852082564684149,-0.6845207263932668,-0.6843728316104979,-0.683580683162138,-0.6827927870215417,-0.6830792040136935,-0.68288760261306,-0.6823863482434168,-0.681641824441202,-0.6806801137502647,-0.6807944851391173,-0.6811122385820307,-0.6807121077019979,-0.681130148458553,-0.6811569900419423
-0.692852189832726,-0.6922866105805288,-0.6926795281902427,-0.6919859679835261,-0.6914268470274886,-0.6904944812340211,-0.6903087443000984,-0.6895674219525672,-0.6885843445351442,-0.6881561034027306,-0.6869270508181213,-0.6861831137313722,-0.6852093966498524,-0.6830115315877211,-0.6838409608177235,-0.6838996113487091,-0.6846509642467178,-0.6839893491657832,-0.6838174751919629,-0.6830349474146145,-0.68215202520824,-0.6825045363408974,-0.6823084577649483,-0.6819127748963317,-0.6810564012328206,-0.6802856142413825,-0.6804288209941604,-0.6808804474523222,-0.680499522184951,-0.681089012520994
-0.6925244541048452,-0.6922521474183571,-0.6916724974283653,-0.6920826737222268,-0.6913122346008371,-0.6907544645165647,-0.689865029814738,-0.6896739341181709,-0.6889630821276225,-0.6880413541811404,-0.6875700438291179,-0.6863190947494571,-0.6855916119443463,-0.6845798031631704,-0.6823596722735068,-0.6832128801011014,-0.6833405600789025,-0.6841197738940006,-0.6834334740030621,-0.6832720682466332,-0.6823944347909551,-0.6815761657470482,-0.6819249055232905,-0.6818347577079131,-0.6813276907049458,-0.680662608300582,-0.679918952244768,-0.6801954366966249,-0.680668263388737,-0.6804566053831032
-0.6924473893722105,-0.691924028192355,-0.6916379957181192,-0.6910744542505822,-0.6914090233522273,-0.6906397525923194,-0.6901252889925641,-0.6892297587884757,-0.6890697179166358,-0.6884206155763526,-0.6874551531153777,-0.6869628313003067,-0.6857277589102218,-0.6849624297296509,-0.6839294946597115,-0.6817299831570587,-0.6826529057442908,-0.6828074894627579,-0.6835640751593544,-0.6828875338453879,-0.6826317996267705,-0.6818188869211478,-0.6809953571703394,-0.6814505815146975,-0.6812495759003309,-0.680934407188549,-0.6802966855565924,-0.6796843793525841,-0.679981619032309,-0.6806258231055444
-0.6923814144792572,-0.6918468732828562,-0.6913095094809798,-0.6910399118141524,-0.6903999384199477,-0.690736625368175,-0.6900104553355733,-0.6894902882729328,-0.688625027054575,-0.6885273988450958,-0.6878348821609098,-0.6868478077300301,-0.686372281060855,-0.6850987231926288,-0.6843124995926715,-0.6833015100741346,-0.6811680155271853,-0.6821188484315774,-0.6822500155753541,-0.6830183163504644,-0.6822468695291495,-0.6820565568638693,-0.6812383862678846,-0.6805195209996989,-0.6808649190204941,-0.6808561457032737,-0.680569017418585,-0.6800629932278741,-0.6794693429283529,-0.6799372396919208
