x,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,lag_30
226.6840057373047,211.07899475097656,257.97601318359375,258.5069885253906,261.5509948730469,265.67999267578125,264.0799865722656,266.3760070800781,270.385986328125,264.4700012207031,265.0830078125,260.99700927734375,279.5849914550781,278.5769958496094,281.8819885253906,285.2179870605469,281.22698974609375,282.614013671875,281.60101318359375,284.6499938964844,287.72198486328125,289.5899963378906,294.427001953125,293.6239929199219,292.6860046386719,288.6969909667969,288.27801513671875,276.04901123046875,277.22198486328125,275.8330078125,278.9809875488281
235.35000610351562,226.6840057373047,211.07899475097656,257.97601318359375,258.5069885253906,261.5509948730469,265.67999267578125,264.0799865722656,266.3760070800781,270.385986328125,264.4700012207031,265.0830078125,260.99700927734375,279.5849914550781,278.5769958496094,281.8819885253906,285.2179870605469,281.22698974609375,282.614013671875,281.60101318359375,284.6499938964844,287.72198486328125,289.5899963378906,294.427001953125,293.6239929199219,292.6860046386719,288.6969909667969,288.27801513671875,276.04901123046875,277.22198486328125,275.8330078125
232.56900024414062,235.35000610351562,226.6840057373047,211.07899475097656,257.97601318359375,258.5069885253906,261.5509948730469,265.67999267578125,264.0799865722656,266.3760070800781,270.385986328125,264.4700012207031,265.0830078125,260.99700927734375,279.5849914550781,278.5769958496094,281.8819885253906,285.2179870605469,281.22698974609375,282.614013671875,281.60101318359375,284.6499938964844,287.72198486328125,289.5899963378906,294.427001953125,293.6239929199219,292.6860046386719,288.6969909667969,288.27801513671875,276.04901123046875,277.22198486328125
230.38999938964844,232.56900024414062,235.35000610351562,226.6840057373047,211.07899475097656,257.97601318359375,258.5069885253906,261.5509948730469,265.67999267578125,264.0799865722656,266.3760070800781,270.385986328125,264.4700012207031,265.0830078125,260.99700927734375,279.5849914550781,278.5769958496094,281.8819885253906,285.2179870605469,281.22698974609375,282.614013671875,281.60101318359375,284.6499938964844,287.72198486328125,289.5899963378906,294.427001953125,293.6239929199219,292.6860046386719,288.6969909667969,288.27801513671875,276.04901123046875
228.16900634765625,230.38999938964844,232.56900024414062,235.35000610351562,226.6840057373047,211.07899475097656,257.97601318359375,258.5069885253906,261.5509948730469,265.67999267578125,264.0799865722656,266.3760070800781,270.385986328125,264.4700012207031,265.0830078125,260.99700927734375,279.5849914550781,278.5769958496094,281.8819885253906,285.2179870605469,281.22698974609375,282.614013671875,281.60101318359375,284.6499938964844,287.72198486328125,289.5899963378906,294.427001953125,293.6239929199219,292.6860046386719,288.6969909667969,288.27801513671875
210.4949951171875,228.16900634765625,230.38999938964844,232.56900024414062,235.35000610351562,226.6840057373047,211.07899475097656,257.97601318359375,258.5069885253906,261.5509948730469,265.67999267578125,264.0799865722656,266.3760070800781,270.385986328125,264.4700012207031,265.0830078125,260.99700927734375,279.5849914550781,278.5769958496094,281.8819885253906,285.2179870605469,281.22698974609375,282.614013671875,281.60101318359375,284.6499938964844,287.72198486328125,289.5899963378906,294.427001953125,293.6239929199219,292.6860046386719,288.6969909667969
221.60899353027344,210.4949951171875,228.16900634765625,230.38999938964844,232.56900024414062,235.35000610351562,226.6840057373047,211.07899475097656,257.97601318359375,258.5069885253906,261.5509948730469,265.67999267578125,264.0799865722656,266.3760070800781,270.385986328125,264.4700012207031,265.0830078125,260.99700927734375,279.5849914550781,278.5769958496094,281.8819885253906,285.2179870605469,281.22698974609375,282.614013671875,281.60101318359375,284.6499938964844,287.72198486328125,289.5899963378906,294.427001953125,293.6239929199219,292.6860046386719
225.83099365234375,221.60899353027344,210.4949951171875,228.16900634765625,230.38999938964844,232.56900024414062,235.35000610351562,226.6840057373047,211.07899475097656,257.97601318359375,258.5069885253906,261.5509948730469,265.67999267578125,264.0799865722656,266.3760070800781,270.385986328125,264.4700012207031,265.0830078125,260.99700927734375,279.5849914550781,278.5769958496094,281.8819885253906,285.2179870605469,281.22698974609375,282.614013671875,281.60101318359375,284.6499938964844,287.72198486328125,289.5899963378906,294.427001953125,293.6239929199219
224.7689971923828,225.83099365234375,221.60899353027344,210.4949951171875,228.16900634765625,230.38999938964844,232.56900024414062,235.35000610351562,226.6840057373047,211.07899475097656,257.97601318359375,258.5069885253906,261.5509948730469,265.67999267578125,264.0799865722656,266.3760070800781,270.385986328125,264.4700012207031,265.0830078125,260.99700927734375,279.5849914550781,278.5769958496094,281.8819885253906,285.2179870605469,281.22698974609375,282.614013671875,281.60101318359375,284.6499938964844,287.72198486328125,289.5899963378906,294.427001953125
231.39599609375,224.7689971923828,225.83099365234375,221.60899353027344,210.4949951171875,228.16900634765625,230.38999938964844,232.56900024414062,235.35000610351562,226.6840057373047,211.07899475097656,257.97601318359375,258.5069885253906,261.5509948730469,265.67999267578125,264.0799865722656,266.3760070800781,270.385986328125,264.4700012207031,265.0830078125,260.99700927734375,279.5849914550781,278.5769958496094,281.8819885253906,285.2179870605469,281.22698974609375,282.614013671875,281.60101318359375,284.6499938964844,287.72198486328125,289.5899963378906
